ID_Wisata,Nama_Wisata,Kota,Kategori,Deskripsi_Wisata,Deskripsi_Clean
W_73ace55b,Jl. Malioboro,Yogyakarta,Budaya/Sejarah,Destinasi wisata Jl. Malioboro berlokasi di Yogyakarta.,destinasi wisata jl malioboro lokasi yogyakarta
W_6f17a023,Keraton Ngayogyakarta Hadiningrat,Yogyakarta,Budaya/Sejarah,"Dibangun pada abad ke-18, istana megah ini masih digunakan oleh keluarga kerajaan Indonesia.",bangun abad istana megah masih guna keluarga raja indonesia
W_95a7288c,Kampung Wisata Taman Sari,Yogyakarta,Budaya/Sejarah,Bekas taman kerajaan dari abad ke-18 dengan kompleks pemandian bertingkat dan arsitektur yang indah.,bekas taman raja abad dengan kompleks mandi tingkat arsitektur indah
W_05ed3f8c,Tugu Jogja,Yogyakarta,Budaya/Sejarah,"Tugu putih & emas bersejarah di penyeberangan tengah jalan, dibangun sejak 1889 & diterangi cahaya saat malam.",tugu putih emas sejarah seberang tengah jalan bangun sejak rang cahaya malam
W_7f931485,Museum Benteng Vredeburg,Yogyakarta,Budaya/Sejarah,Museum yang dulunya benteng kolonial ini menampilkan sejarah perjuangan kemerdekaan Indonesia.,museum dulunya benteng kolonial tampil sejarah juang merdeka indonesia
W_087243b3,Candi Prambanan,Yogyakarta,Budaya/Sejarah,Kompleks candi Hindu yang luas & dibangun pada abad ke-9 dengan struktur batu atas meruncing & patung.,kompleks candi hindu luas bangun abad dengan struktur batu atas runcing patung
W_5191900c,Keraton Ratu Boko,Yogyakarta,Budaya/Sejarah,"Situs arkeologis yang memadukan arsitektur khas Budha & Hindu, candi batu & gua.",situs arkeologis madu arsitektur khas budha hindu candi batu gua
W_7a86122e,Candi Sewu,Yogyakarta,Budaya/Sejarah,Kompleks candi Budha besar dengan beberapa bangunan yang telah ada sejak abad ke-8.,kompleks candi budha besar beberapa bangun telah sejak abad
W_a7f5b607,Candi Sambisari,Yogyakarta,Budaya/Sejarah,"Setelah terkubur di bawah tanah, situs bersejarah ini menyajikan kuil Hindu abad ke-9 yang digali.",kubur bawah tanah situs sejarah saji kuil hindu abad yang gali
W_88d3109b,Candi Ijo,Yogyakarta,Budaya/Sejarah,"Kompleks candi abad ke-9 yang berundak di puncak bukit, plus panorama lahan pertanian di sekitarnya.",kompleks candi abad yang undak puncak bukit plus panorama lahan tani sekitar
W_15a2882b,Candi Plaosan Lor,Yogyakarta,Budaya/Sejarah,"1 dari 2 candi Budha yang indah di area abad ke-9 dengan berbagai bangunan, stupa & tempat suci.",candi budha indah area abad dengan bagai bangun stupa tempat suci
W_fd8a1cfa,Monumen Yogya Kembali,Yogyakarta,Budaya/Sejarah,Museum berbentuk kerucut yang menghadirkan diorama & pameran lain tentang Perjuangan Kemerdekaan Indonesia.,museum bentuk kerucut hadir diorama pamer tentang juang merdeka indonesia
W_2b23c63e,Pantai Parangtritis,Yogyakarta,Alam,"Pantai yang ramai dengan penyewaan kursi/payung pantai, deburan ombak, dan kereta kuda.",pantai ramai sewa kursi payung pantai debur ombak kereta kuda
W_78b802d1,Pantai Indrayanti,Yogyakarta,Alam,Destinasi wisata Pantai Indrayanti berlokasi di Yogyakarta.,destinasi wisata pantai indrayanti lokasi yogyakarta
W_4e4b4d0e,Pantai Timang,Yogyakarta,Alam,Pantai pasir putih dengan pulau yang terhubung ke daratan melalui jembatan tali dan kereta gantung.,pantai pasir putih pulau hubung darat lalu jembatan tali kereta gantung
W_e255b8c3,Pantai Jogan,Yogyakarta,Alam,Destinasi tepi laut dengan tempat observasi di samping air terjun yang mengalir ke pantai berbatu.,destinasi tepi laut tempat observasi samping air terjun alir pantai batu
W_d3f8237c,Pantai Pok Tunggal,Yogyakarta,Alam,"Pantai pasir putih yang dikelilingi tebing & pepohonan, dengan pohon ikonis yang populer untuk tempat foto.",pantai pasir putih keliling tebing pohon pohon ikonis populer tempat foto
W_71859240,Pantai Nglambor,Yogyakarta,Alam,Pantai berpasir yang tenang dengan tempat penyewaan alat snorkeling & kursus snorkeling.,pantai pasir tenang tempat sewa alat snorkeling kursus snorkeling
W_e2f26777,Pantai Drini,Yogyakarta,Alam,Pantai pasir putih yang dibagi menjadi 2 pantai oleh pulau karang ini memiliki restoran & pasar ikan.,pantai pasir putih bagi jadi pantai pulau karang milik restoran pasar ikan
W_569bfdf6,Pantai Glagah Indah,Yogyakarta,Alam,"Terkenal dengan ombak yang besar, pantai populer ini memiliki panorama sunset indah & penjual makanan lokal.",kenal ombak besar pantai populer milik panorama sunset indah jual makan lokal
W_c60c9a2d,Hutan Pinus Mangunan,Yogyakarta,Budaya/Sejarah,Hutan yang dikelola pemerintah dengan pepohonan Pinus Sumatra menjulang tinggi ke langit.,hutan kelola perintah pohon pinus sumatra julang tinggi langit
W_36da6338,Puncak Pinus Becici,Yogyakarta,Budaya/Sejarah,"Area hutan dengan dekorasi tempat duduk untuk kesempatan berfoto dengan pemandangan gunung, lembah & kota.",area hutan dekorasi tempat duduk sempat foto pandang gunung lembah kota
W_a72d6d74,Kebun Buah Mangunan,Yogyakarta,Budaya/Sejarah,Kebun buah di puncak bukit yang menawan dengan beragam pohon buah di tengah pemandangan luas di wilayah ini.,kebun buah puncak bukit tawan agam pohon buah tengah pandang luas wilayah
W_dd36f062,Gunung Api Purba Nglanggeran,Yogyakarta,Alam,"Puncak vulkanis & area rekreasi yang terkenal dengan hiking, perkemahan & pemandangan indahnya.",puncak vulkanis area rekreasi kenal hiking kemah pandang indah
W_c32e91e5,Bunker Kaliadem Merapi,Yogyakarta,Budaya/Sejarah,"Bungker beton terbengkalai dengan panorama gunung Merapi aktif, bisa dicapai melalui jalan tanah bergelombang.",bungker beton bengkalai panorama gunung rapi aktif capai lalu jalan tanah gelombang
W_3d78e627,Goa Pindul,Yogyakarta,Alam,Wisata populer tempat pengunjung mengambang ke dalam gua besar naik ban pelampung.,wisata populer tempat unjung ambang dalam gua besar naik ban pelampung
W_2f4daa6a,Goa Jomblang,Yogyakarta,Alam,Gua pembuangan vertikal berbatu yang bisa dieksplorasi menggunakan peralatan caving yang disediakan di lokasi.,gua buang vertikal batu bisa eksplorasi guna alat caving sedia lokasi
W_ffcc9487,Lava Tour Merapi by Amtra Journey,Yogyakarta,Budaya/Sejarah,Destinasi wisata Lava Tour Merapi by Amtra Journey berlokasi di Yogyakarta.,destinasi wisata lava tour rapi by amtra journey lokasi yogyakarta
W_923cd239,Taman Pelangi Jogja,Yogyakarta,Budaya/Sejarah,Kegiatan berfoto sangat digemari di tempat wisata ini dengan lampion yang menyala saat malam & wahana anak.,giat foto sangat gari tempat wisata dengan lampion nyala malam wahana anak
W_1a691e24,HeHa Sky View,Yogyakarta,Budaya/Sejarah,"Resto, kafe & kios kuliner kaki lima di atap yang terletak di lebih dari 3 lantai berpanorama kota & pedesaan.",resto kafe kios kuliner kaki lima atap letak lebih lantai panorama kota desa
